Index  Name                 Purpose    Type       Value
0      amount               VARIABLE   INTEGERTYPE 0
1      1                    CONSTANT   INTEGERTYPE 1
2      minor_axis           VARIABLE   INTEGERTYPE 0
3      a                    VARIABLE   INTEGERTYPE 0
4      b                    VARIABLE   INTEGERTYPE 0
5      c                    VARIABLE   INTEGERTYPE 0
6      21.7                 CONSTANT   FLOATTYPE  21.7
7      22                   CONSTANT   INTEGERTYPE 22
8      123456               CONSTANT   INTEGERTYPE 123456
9      12.34567891134567    CONSTANT   FLOATTYPE  12.34567891134567
10     hereisareallylongide VARIABLE   INTEGERTYPE 0
11     66                   CONSTANT   INTEGERTYPE 66
12     76.5E-12             CONSTANT   FLOATTYPE  7.65E-11
13     109.E+10             CONSTANT   FLOATTYPE  1.09E12
14     12.33E5              CONSTANT   FLOATTYPE  1233000.0
15     12.4                 CONSTANT   FLOATTYPE  12.4
16     E                    VARIABLE   INTEGERTYPE 0
17     2                    CONSTANT   INTEGERTYPE 2
18     myString_1           VARIABLE   INTEGERTYPE 0
19     a good string        VARIABLE   STRINGTYPE a good string
20     some                 VARIABLE   INTEGERTYPE 0
21     more                 VARIABLE   INTEGERTYPE 0
22     single               VARIABLE   INTEGERTYPE 0
23     quoted               VARIABLE   INTEGERTYPE 0
24     is                   VARIABLE   INTEGERTYPE 0
25     not                  VARIABLE   INTEGERTYPE 0
26     JumpOut              VARIABLE   INTEGERTYPE 0
27     TO                   VARIABLE   INTEGERTYPE 0
28     DO                   VARIABLE   INTEGERTYPE 0
29     if                   VARIABLE   INTEGERTYPE 0
30     that                 VARIABLE   INTEGERTYPE 0
31     nothing              VARIABLE   INTEGERTYPE 0
32     For                  VARIABLE   INTEGERTYPE 0
33     I                    VARIABLE   INTEGERTYPE 0
34     100.E7               CONSTANT   FLOATTYPE  1.0E9
35     of                   VARIABLE   INTEGERTYPE 0
36     END                  VARIABLE   INTEGERTYPE 0
37     declare              VARIABLE   INTEGERTYPE 0
38     ARRAY                VARIABLE   INTEGERTYPE 0
39     VAR                  VARIABLE   INTEGERTYPE 0
40     module               VARIABLE   INTEGERTYPE 0
41     UNIT                 VARIABLE   INTEGERTYPE 0
42     done                 VARIABLE   INTEGERTYPE 0
43     TRUE                 VARIABLE   INTEGERTYPE 0
44     RETURN               VARIABLE   INTEGERTYPE 0
45     reserve              VARIABLE   INTEGERTYPE 0
46     sum                  VARIABLE   INTEGERTYPE 0
47     0.0                  CONSTANT   FLOATTYPE  0.0
48     2.                   CONSTANT   FLOATTYPE  2.0
49     found                VARIABLE   INTEGERTYPE 0
50     7.E-3                CONSTANT   FLOATTYPE  0.007
